sku,design_family,design_name,status,matched_tags,approved_tags
"AFGFMS0620","AFMS0620","Birthday Dog",updated,"Party-Time","Balloons | Birthday | Dogs | Family-Friends | Golden-Retrievers | Party-Time | Pets-Animals"
"AFHFMS0620","AFMS0620","Birthday Dog",updated,"Party-Time","Balloons | Birthday | Dogs | Family-Friends | Golden-Retrievers | Party-Time | Pets-Animals"
"AFGFMS0675","AFMS0675","Baby Girl Elephant",updated,"Party-Time","Balloons | Birthday | Party-Time"
"AFHFMS0675","AFMS0675","Baby Girl Elephant",updated,"Party-Time","Balloons | Birthday | Party-Time"
"AFGFMS0676","AFMS0676","Baby Boy Elephant",updated,"Party-Time","Babies | Baby-And-Kids | Balloons | Elephants | Family-Friends | Party-Time | Pets-Animals | Wildlife"
"AFHFMS0676","AFMS0676","Baby Boy Elephant",updated,"Party-Time","Babies | Baby-And-Kids | Balloons | Elephants | Family-Friends | Party-Time | Pets-Animals | Wildlife"
"AFGFMS0687","AFMS0687","Happy Hour Monkey",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Party-Time | Summer | Tropical | Wine-Drinks"
"AFHFMS0687","AFMS0687","Happy Hour Monkey",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Party-Time | Summer | Tropical | Wine-Drinks"
"AFGFMS0688","AFMS0688","That Hit The Spot!",updated,"5-O-Clock-Somewhere | Margaritas | Party-Time","5-O-Clock-Somewhere | Butterflies | Butterflies-Insects | Flowers | Margaritas | Party-Time | Pets-Animals | Tropical-Flowers | Wild-Animals | Wildlife"
"AFHFMS0688","AFMS0688","That Hit The Spot!",updated,"5-O-Clock-Somewhere | Margaritas | Party-Time","5-O-Clock-Somewhere | Butterflies | Butterflies-Insects | Flowers | Margaritas | Party-Time | Pets-Animals | Tropical-Flowers | Wild-Animals | Wildlife"
"AFGFMS0689","AFMS0689","Happy Hour Flamingo",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Flamingos | Flowers | Food-Wine | Party-Time | Seasonal | Summer | Tropical | Tropical-Flowers | Wine-Drinks"
"AFHFMS0689","AFMS0689","Happy Hour Flamingo",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Flamingos | Flowers | Food-Wine | Party-Time | Seasonal | Summer | Tropical | Tropical-Flowers | Wine-Drinks"
"AFGFMS0690","AFMS0690","Happy Hour Parrot",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Flowers | Food-Wine | Parrots | Party-Time | Tropical-Flowers | Wine-Drinks"
"AFHFMS0690","AFMS0690","Happy Hour Parrot",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Flowers | Food-Wine | Parrots | Party-Time | Tropical-Flowers | Wine-Drinks"
